Source_Num,Found_Num,Source_URL,Found_URL,Found_Domain,Relative_Risk,Snippet,View_URL,FIXED
10,6,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.kevaliving.com/blogs/news/how-to-remove-common-rug-stains-like-wine-coffee-more,www.kevaliving.com,85,"Continue blotting... Mix one tablespoon of liquid dish soap, one tablespoon of white vinegar, and two cups of warm water...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - all dish soap/vinegar/water recipes reworded"
6,2,https://myshinyrhino.com/blog/dirty-upholstery-air-quality,http://oreateai.com/blog/beyond-the-hype-what-can-you-actually-clean-with-a-steam-cleaner/,oreateai.com,80,"For upholstery, look for cleaning codes. W means water-based, S means solvent-only, WS means either, X means professional...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#6","Same fix as 6,1 - cleaning code descriptions fully reworded"
6,3,https://myshinyrhino.com/blog/dirty-upholstery-air-quality,https://www.oreateai.com/blog/the-accidental-masterclass-rescuing-your-couch-from-a-red-wine-catastrophe/,www.oreateai.com,80,"You'll often find cleaning codes: W means water-based, S means solvent-only, WS means either, X means professional...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#6","Same fix as 6,1 - cleaning code descriptions fully reworded"
6,4,https://myshinyrhino.com/blog/dirty-upholstery-air-quality,https://www.mattressgallerydirect.com/sleep-health-blog/dust-mite-allergies/,www.mattressgallerydirect.com,80,"it's not the mites themselves that cause allergic reactions... Control Humidity: Dust mites thrive in humidity levels above 50%...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#6","Rewrote dust mite facts + humidity text. Changed to 'The allergic response actually comes from what the mites leave behind, not the creatures themselves' and 'Aim to maintain humidity in the 30 to 50 percent range. Once moisture levels climb higher, dust mite populations multiply rapidly'"
1,2,https://myshinyrhino.com/,https://www.tileandcarpetcleaningpros.com/faq.html,www.tileandcarpetcleaningpros.com,75,"Most residential carpet cleaning jobs take between 1 to 3 hours...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#1","Same fix as 1,1 - both FAQ answers about cleaning duration were reworded"
5,3,https://myshinyrhino.com/blog/daily-habits-carpet-care,https://www.amazon.com/Area-Rug-Living-Room-9x12/dp/B0DD4CZVSN,www.amazon.com,75,"Always use a vacuum cleaner with a HEPA filter to prevent allergens from being redistributed into the air...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#5","Same fix as 5,1 - HEPA filter text fully reworded"
5,4,https://myshinyrhino.com/blog/daily-habits-carpet-care,https://wellbeingmagazine.com/the-hidden-health-risks-in-your-home/,wellbeingmagazine.com,75,"Use a vacuum with a HEPA filter to prevent allergens from blowing back into the air...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#5","Same fix as 5,1 - HEPA filter text fully reworded"
6,5,https://myshinyrhino.com/blog/dirty-upholstery-air-quality,https://www.airoasis.com/blogs/articles/why-do-my-allergies-get-worse-at-night,www.airoasis.com,75,"Washing bedding weekly in hot water at least 130 degrees Fahrenheit kills dust mites...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#6","Rewrote slipcover washing advice: changed to 'Adding washable slipcovers or throw blankets creates a protective layer. Laundering them each week on a hot cycle eliminates dust mites on contact'"
7,2,https://myshinyrhino.com/blog/get-rid-of-pet-odor-carpet,https://www.oreateai.com/blog/banishing-pet-urine-smells/,www.oreateai.com,75,"Mix equal parts white vinegar and water in a spray bottle. Spray generously over the...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#7","Same fix as 7,1 - vinegar solution instructions fully reworded"
7,3,https://myshinyrhino.com/blog/get-rid-of-pet-odor-carpet,https://bigbird.alibaba.com/question/does-vinegar-clean-bird-poop,bigbird.alibaba.com,75,"Mix equal parts white vinegar and water in a spray bottle. Spray generously...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#7","Same fix as 7,1 - vinegar solution instructions fully reworded"
10,7,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://chanteclair.it/en/stain_removal/red-wine-stains/,chanteclair.it,75,"Rinse thoroughly with cold water... make a paste with water and baking soda and apply it to the stain...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Rewrote red wine section: changed to 'cover it with a generous layer of salt or baking soda to pull remaining pigment from the fibers. Wait about 20 minutes, then vacuum'"
10,8,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://carpetsgreencleaning.com/blog-2/,carpetsgreencleaning.com,75,"Red Wine Stains... Red wine is one of the most feared carpet stains...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Rewrote opening: changed to 'Few carpet stains cause as much panic as red wine, but a fast response makes all the difference'"
10,9,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.facebook.com/groups/WHI.St.Charles/posts/,www.facebook.com,75,"An effective homemade coffee stain remover consists of one tablespoon of liquid dish soap, one tablespoon of white vinegar...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - coffee stain recipe and FAQ answer reworded"
10,10,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.facebook.com/groups/387981432375737/posts/,www.facebook.com,75,"An effective homemade coffee stain remover consists of one tablespoon of liquid dish soap, one tablespoon of white vinegar...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - coffee stain recipe and FAQ answer reworded"
10,11,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://vogscarpetcleaning.com/handle-spilled-drinks-on-carpets/,vogscarpetcleaning.com,75,"Mix one tablespoon of liquid dish soap, one tablespoon of vinegar, and two cups of...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - all dish soap/vinegar/water recipes reworded"
12,1,https://myshinyrhino.com/blog/rental-vs-professional-carpet-cleaning,https://milwaukeecarpetrepair.com/carpet-cleaning/,milwaukeecarpetrepair.com,75,"most carpet manufacturers require professional cleaning every 12 to 18 months to maintain the warranty...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#12","Rewrote warranty text: changed to 'Leading carpet brands specify that carpets should receive professional hot water extraction on a regular cycle. What many homeowners miss is that this is not optional advice. Skipping scheduled cleanings can void your warranty entirely.'"
16,1,https://myshinyrhino.com/contact,https://barcoldoor.com/contact/,barcoldoor.com,75,"Have a question, need a quote, or ready to schedule service? Our team is here to help...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#16","Rewrote contact subtitle: changed to 'Whether you want pricing details, have questions about our services, or are ready to book your cleaning, we are just a call or message away'"
