State,ABB,City,Status
West Virginia,WV,Mount Hope,
New York,NY,Scarsdale,
Mississippi,MS,Lexington,
Idaho,ID,Payette,
Georgia,GA,Mcdonough,
Maryland,MD,Takoma Park,
South Carolina,SC,Lexington,
Delaware,DE,Dagsboro,
Massachusetts,MA,Walpole,
South Carolina,SC,Bennettsville,
Oregon,OR,Springfield,
Louisiana,LA,Shreveport,
Kansas,KS,De Soto,
Wyoming,WY,Hulett,
West Virginia,WV,Madison,
Utah,UT,Salem,
North Carolina,NC,Spring Lake,
Idaho,ID,Blackfoot,
Kentucky,KY,Benton,
New Hampshire,NH,Tilton,
Wyoming,WY,Thayne,
California,CA,San Francisco,
Oregon,OR,Jacksonville,
Idaho,ID,Nampa,
Pennsylvania,PA,Kingston,
Oklahoma,OK,Sapulpa,
Louisiana,LA,Luling,
South Carolina,SC,Orangeburg,
Florida,FL,Boca Raton,
Wyoming,WY,Thermopolis,
Mississippi,MS,Clarksdale,
Michigan,MI,Livonia,
Tennessee,TN,Brownsville,
Connecticut,CT,Plainville,
Oklahoma,OK,Guymon,
Utah,UT,Providence,
Oklahoma,OK,Shawnee,
Maine,ME,Warren,
Pennsylvania,PA,Lititz,
Maryland,MD,Millersville,
Maryland,MD,Silver Spring,
Ohio,OH,Westlake,
Utah,UT,Smithfield,
Utah,UT,Mount Pleasant,
Kentucky,KY,Lawrenceburg,
Washington,WA,Richland,
South Carolina,SC,Greenwood,
New Mexico,NM,Placitas,
Iowa,IA,Osceola,
Massachusetts,MA,Cambridge,
Pennsylvania,PA,New Castle,
Arizona,AZ,Winslow,
Ohio,OH,Marietta,
Arizona,AZ,Rimrock,
Louisiana,LA,Denham Springs,
Idaho,ID,Rupert,
Iowa,IA,Waukon,
Massachusetts,MA,Framingham,
South Carolina,SC,Moore,
Alabama,AL,Prattville,
Minnesota,MN,Saint Paul,
Michigan,MI,Grandville,
Michigan,MI,Romulus,
Kansas,KS,Parsons,
New Mexico,NM,Mescalero,
South Carolina,SC,Walterboro,
New Mexico,NM,Shiprock,
North Dakota,ND,Grafton,
Colorado,CO,Silverthorne,
Nebraska,NE,Dakota City,
Wisconsin,WI,Fond Du Lac,
Ohio,OH,Massillon,
Ohio,OH,North Olmsted,
North Carolina,NC,Camp Lejeune,
Florida,FL,Key West,
Maine,ME,Sanford,
Rhode Island,RI,Wood River Junction,
New Mexico,NM,Dexter,
Kansas,KS,Burlington,
South Dakota,SD,Harrisburg,
Arkansas,AR,Sherwood,
Missouri,MO,Nevada,
New York,NY,East Northport,
Florida,FL,Rockledge,
Alabama,AL,Oneonta,
Connecticut,CT,Prospect,
Colorado,CO,Canon City,
Kentucky,KY,Marion,
Georgia,GA,Suwanee,
North Dakota,ND,Fort Yates,
North Dakota,ND,Velva,
Illinois,IL,Skokie,
Kentucky,KY,Catlettsburg,
Missouri,MO,Florissant,
Maine,ME,Belfast,
Virginia,VA,Leesburg,
Arkansas,AR,Texarkana,
Nevada,NV,Dayton,
Connecticut,CT,Cheshire,
Arkansas,AR,Booneville,
Missouri,MO,Festus,
Illinois,IL,Pekin,
Washington,WA,Bonney Lake,
Montana,MT,Plains,
North Carolina,NC,Reidsville,
Washington,WA,University Place,
Mississippi,MS,Gautier,
Florida,FL,Hallandale,
Wisconsin,WI,Milton,
Oklahoma,OK,Afton,
Ohio,OH,Uniontown,
Illinois,IL,Palatine,
Oklahoma,OK,Stigler,
Georgia,GA,Brunswick,
Idaho,ID,Athol,
Maryland,MD,Brooklyn,
Massachusetts,MA,Malden,
Florida,FL,Longwood,
Texas,TX,Round Rock,
South Carolina,SC,Beaufort,
Rhode Island,RI,Narragansett,
Arkansas,AR,Fort Smith,
Arizona,AZ,Buckeye,
West Virginia,WV,Lost Creek,
South Dakota,SD,White River,
New Mexico,NM,Lordsburg,
North Dakota,ND,Kenmare,
Colorado,CO,Leadville,
South Dakota,SD,Wagner,
New York,NY,Bay Shore,
Utah,UT,La Verkin,
Iowa,IA,Marion,
Washington,WA,Kirkland,
Virginia,VA,Hopewell,
Delaware,DE,Ellendale,
Kentucky,KY,Middlesboro,
North Carolina,NC,Marion,
Kansas,KS,Olathe,
Utah,UT,Kamas,
Iowa,IA,Clinton,
Maryland,MD,Hagerstown,
Utah,UT,Delta,
Ohio,OH,Sylvania,
Ohio,OH,Oxford,
Indiana,IN,Portage,
South Dakota,SD,Brandon,
Idaho,ID,Ketchum,
Iowa,IA,Clear Lake,
Utah,UT,Morgan,
Vermont,VT,Manchester Center,
New York,NY,New City,
North Carolina,NC,Candler,
Wisconsin,WI,Stevens Point,
Arkansas,AR,White Hall,
New Jersey,NJ,Newark,
Washington,WA,Tacoma,
Florida,FL,Hialeah,
Minnesota,MN,Thief River Falls,
New Hampshire,NH,Claremont,
Connecticut,CT,Windsor Locks,
New Hampshire,NH,Amherst,
Montana,MT,Frenchtown,
Kansas,KS,Colby,
Nebraska,NE,Auburn,
Florida,FL,North Fort Myers,
North Dakota,ND,Milnor,
Nebraska,NE,Nebraska City,
California,CA,Daly City,
North Dakota,ND,Linton,
Pennsylvania,PA,Chester,
California,CA,Carmichael,
Georgia,GA,Pooler,
Maryland,MD,Capitol Heights,
Ohio,OH,Willoughby,
Oregon,OR,Terrebonne,
Maine,ME,Bangor,
New Hampshire,NH,Fremont,
South Dakota,SD,Ipswich,
Mississippi,MS,Lumberton,
Wisconsin,WI,Waunakee,
Maine,ME,Bar Harbor,
West Virginia,WV,Ona,
Indiana,IN,Warsaw,
Connecticut,CT,Derby,
Utah,UT,Monticello,
Wyoming,WY,Big Piney,
Wisconsin,WI,Racine,
Nevada,NV,Pahrump,
Utah,UT,Clearfield,
Montana,MT,Hamilton,
West Virginia,WV,Elkins,
California,CA,Corona,
South Carolina,SC,Camden,
Washington,WA,Orting,
New Mexico,NM,Espanola,
Hawaii,HI,Waipahu,
Florida,FL,Pensacola,
Montana,MT,Deer Lodge,
Kentucky,KY,Glasgow,
Colorado,CO,Loveland,
Arizona,AZ,Golden Valley,
California,CA,Huntington Park,
Indiana,IN,Connersville,
Wyoming,WY,Manderson,
Virginia,VA,Chester,
Pennsylvania,PA,Allison Park,
Rhode Island,RI,Manville,
Alabama,AL,New Market,
South Carolina,SC,Travelers Rest,
Illinois,IL,Barrington,
Missouri,MO,Monett,
Utah,UT,Riverton,
Maine,ME,Hampden,
Louisiana,LA,Harvey,
Georgia,GA,Hiram,
Vermont,VT,Jericho,
New Jersey,NJ,Princeton,
Missouri,MO,Pacific,
West Virginia,WV,Kenova,
North Carolina,NC,Whiteville,
Indiana,IN,East Chicago,
Mississippi,MS,Diberville,
South Dakota,SD,Jefferson,
North Dakota,ND,Oakes,
Nevada,NV,Orovada,
Kansas,KS,Pratt,
Tennessee,TN,Mountain City,
Arkansas,AR,Jonesboro,
Arizona,AZ,Fort Mohave,
Michigan,MI,Mount Pleasant,
Georgia,GA,Canton,
New Jersey,NJ,Middletown,
Wisconsin,WI,South Milwaukee,
Nebraska,NE,Seward,
Indiana,IN,Bluffton,
Vermont,VT,Proctor,
Montana,MT,Bigfork,
Florida,FL,Orange Park,
Oregon,OR,Hermiston,
Minnesota,MN,Rogers,
Georgia,GA,Dacula,
Georgia,GA,Hinesville,
New Hampshire,NH,Hanover,
Iowa,IA,Independence,
South Dakota,SD,Howard,
Ohio,OH,Marysville,
Maine,ME,Poland,
New York,NY,Huntington Station,
South Dakota,SD,Scotland,
Georgia,GA,Norcross,
New Jersey,NJ,Lawrence Township,
Michigan,MI,West Bloomfield,
Georgia,GA,Buford,
Indiana,IN,Madison,
North Dakota,ND,Hebron,
Wyoming,WY,Shell,
North Dakota,ND,Mott,
Indiana,IN,Brownsburg,
South Dakota,SD,Webster,
South Dakota,SD,Dell Rapids,
Minnesota,MN,Litchfield,
Utah,UT,Tremonton,
Mississippi,MS,Pass Christian,
Maine,ME,Fairfield,
North Dakota,ND,Parshall,
Maine,ME,Bath,
Indiana,IN,Mishawaka,
Colorado,CO,Berthoud,
Ohio,OH,Medina,
New Mexico,NM,Clayton,
Massachusetts,MA,Westford,
South Dakota,SD,Clark,
Kansas,KS,Spring Hill,
Oregon,OR,Cornelius,
Wyoming,WY,Evanston,
Missouri,MO,Sikeston,
Iowa,IA,Cedar Rapids,
Ohio,OH,Wooster,
New York,NY,South Ozone Park,
Alabama,AL,Selma,
Louisiana,LA,Kentwood,
Wyoming,WY,Yoder,
Nebraska,NE,Superior,
Rhode Island,RI,Riverside,
Pennsylvania,PA,Allentown,
Missouri,MO,Saint Ann,
Michigan,MI,Troy,
Kentucky,KY,Nicholasville,
Michigan,MI,Marquette,
Colorado,CO,Broomfield,
Montana,MT,West Yellowstone,
South Dakota,SD,Oglala,
Vermont,VT,Saint Johnsbury,
Ohio,OH,Tiffin,
Nebraska,NE,Geneva,
New Mexico,NM,Los Lunas,
New Mexico,NM,Moriarty,
California,CA,Norwalk,
Idaho,ID,Hazelton,
Minnesota,MN,Eden Prairie,
South Carolina,SC,Belton,
Texas,TX,Grand Prairie,
Ohio,OH,Elyria,
New Hampshire,NH,Farmington,
Mississippi,MS,Terry,
Mississippi,MS,Horn Lake,
New Jersey,NJ,Toms River,
Illinois,IL,Chicago Heights,
Arkansas,AR,Bryant,
Colorado,CO,Gunnison,
Kansas,KS,Stilwell,
Virginia,VA,Christiansburg,
Wyoming,WY,Gillette,
Florida,FL,Port Charlotte,
Washington,WA,Greenacres,
New Hampshire,NH,Berlin,
Vermont,VT,New Haven,
Nevada,NV,Incline Village,
Iowa,IA,Boone,
Kansas,KS,Valley Center,
Utah,UT,Ogden,
Michigan,MI,Roseville,
Massachusetts,MA,Braintree,
Texas,TX,Waxahachie,
Maine,ME,Lincoln,
Illinois,IL,Elmhurst,
Ohio,OH,Akron,
Massachusetts,MA,Dracut,
Colorado,CO,Parachute,
Nevada,NV,Sloan,
Mississippi,MS,Water Valley,
Vermont,VT,Burlington,
Maine,ME,Hollis Center,
Washington,WA,Kelso,
Idaho,ID,Boise,
Virginia,VA,Williamsburg,
Colorado,CO,Yuma,
New Jersey,NJ,Sewell,
New York,NY,Port Washington,
Maine,ME,South China,
Iowa,IA,Denison,
California,CA,Pico Rivera,
Kansas,KS,Overland Park,
Maine,ME,Sabattus,
New Jersey,NJ,Old Bridge,
South Carolina,SC,Darlington,
Rhode Island,RI,Chepachet,
Ohio,OH,Ravenna,
Georgia,GA,Carrollton,
Massachusetts,MA,Norton,
Nebraska,NE,Norfolk,
Indiana,IN,Clarksville,
Ohio,OH,Mount Vernon,
Rhode Island,RI,Harrisville,
Mississippi,MS,Hattiesburg,
Florida,FL,Venice,
Hawaii,HI,Kahuku,
Colorado,CO,Fort Lupton,
New Mexico,NM,Ruidoso,
New Hampshire,NH,Laconia,
Kansas,KS,Haysville,
West Virginia,WV,Parkersburg,
South Carolina,SC,Cheraw,
Texas,TX,Mcallen,
Iowa,IA,Marshalltown,
Montana,MT,Belgrade,
Mississippi,MS,Saucier,
South Carolina,SC,Summerville,
Arkansas,AR,El Dorado,
West Virginia,WV,Fort Gay,
Oregon,OR,Tualatin,
New Hampshire,NH,Hollis,
Nebraska,NE,Elkhorn,
Hawaii,HI,Schofield Barracks,
Hawaii,HI,Kurtistown,
Oregon,OR,Eagle Point,
Alabama,AL,Hamilton,
Maryland,MD,Damascus,
Maine,ME,Oxford,
New York,NY,Levittown,
New Jersey,NJ,East Brunswick,
Wyoming,WY,Burns,
Illinois,IL,Bourbonnais,
Arizona,AZ,Holbrook,
Nebraska,NE,Wakefield,
Utah,UT,Woods Cross,
Montana,MT,Chinook,
Wisconsin,WI,Oak Creek,
Arkansas,AR,Hot Springs National Park,
New Mexico,NM,Laguna,
Connecticut,CT,New Fairfield,
Pennsylvania,PA,Collegeville,
Ohio,OH,Bowling Green,
Iowa,IA,Maquoketa,
Indiana,IN,Lawrenceburg,
New Hampshire,NH,Portsmouth,
Wyoming,WY,Torrington,
California,CA,San Pablo,
Louisiana,LA,Plaquemine,
Ohio,OH,Westerville,
Illinois,IL,Niles,
North Carolina,NC,Laurinburg,
North Dakota,ND,Minot,
Utah,UT,Roy,
Utah,UT,Washington,
Missouri,MO,High Ridge,
North Carolina,NC,Monroe,
Arizona,AZ,Florence,
Massachusetts,MA,Danvers,
Kansas,KS,Topeka,
Iowa,IA,Urbandale,
Hawaii,HI,Wahiawa,
California,CA,Fontana,
Georgia,GA,Mableton,
Wyoming,WY,Ten Sleep,
Illinois,IL,Schaumburg,
Virginia,VA,Fairfax,
Texas,TX,Humble,
South Carolina,SC,Kershaw,
New Hampshire,NH,Greenville,
Alabama,AL,Russellville,
Wisconsin,WI,Edgerton,
Washington,WA,Grandview,
South Dakota,SD,Parkston,
Michigan,MI,Saline,
North Carolina,NC,Lexington,
Wyoming,WY,La Barge,
Arkansas,AR,Prairie Grove,
California,CA,Carson,
New Hampshire,NH,Nashua,
Iowa,IA,Nevada,
Alaska,AK,Douglas,
Massachusetts,MA,Pittsfield,
Pennsylvania,PA,Elizabethtown,
Maryland,MD,Cumberland,
Illinois,IL,West Chicago,
Arkansas,AR,Gravette,
Wyoming,WY,Casper,
Alaska,AK,Homer,
Washington,WA,Issaquah,
Oklahoma,OK,Holdenville,
Texas,TX,Del Rio,
South Dakota,SD,Piedmont,
Idaho,ID,Hailey,
Missouri,MO,Maryville,
Oklahoma,OK,Ponca City,
Ohio,OH,London,
Colorado,CO,Peyton,
Colorado,CO,Bailey,
Michigan,MI,Lincoln Park,
North Dakota,ND,Park River,
Oregon,OR,Aurora,
Alaska,AK,Seward,
New Jersey,NJ,Sicklerville,
South Dakota,SD,Huron,
West Virginia,WV,Pennsboro,
New York,NY,Webster,
North Carolina,NC,Lillington,
Delaware,DE,Bethel,
Illinois,IL,Grayslake,
Indiana,IN,Shelbyville,
Pennsylvania,PA,Coatesville,
Connecticut,CT,Groton,
Connecticut,CT,Stamford,
Washington,WA,Vancouver,
New Mexico,NM,Fruitland,
Arkansas,AR,Hamburg,
Louisiana,LA,Saint Martinville,
Nevada,NV,Silver Springs,
Ohio,OH,Portsmouth,
Arkansas,AR,Bentonville,
Utah,UT,Saratoga Springs,
New Jersey,NJ,Rahway,
California,CA,Union City,
Idaho,ID,Ashton,
Washington,WA,Sunnyside,
North Carolina,NC,Clinton,
Maryland,MD,Frostburg,
New Jersey,NJ,Paterson,
South Dakota,SD,Freeman,
Wyoming,WY,Banner,
Ohio,OH,Xenia,
Pennsylvania,PA,Media,
Montana,MT,Malta,
North Dakota,ND,Beach,
Arkansas,AR,Cabot,
Illinois,IL,Crystal Lake,
New York,NY,Hempstead,
Kentucky,KY,Scottsville,
Michigan,MI,Howell,
Colorado,CO,Fort Collins,
Montana,MT,Lewistown,
Oklahoma,OK,Owasso,
North Carolina,NC,Indian Trail,
New Mexico,NM,Anthony,
Louisiana,LA,Port Allen,
Montana,MT,Belt,
Alabama,AL,Ozark,
Iowa,IA,Clarinda,
California,CA,Fountain Valley,
Wyoming,WY,Rock Springs,
Vermont,VT,Ludlow,
